SECCIÓN,Variable / Concepto,Valor / Fórmula,Notas

INPUTS - PARÁMETROS BASE,,,
INPUT,Usuarios activos por mes,3000,Cambia este número para simular escalado
INPUT,Frecuencia carga por usuario por mes,4,Promedio mercado mexicano clientes recurrentes
INPUT,Ticket promedio por carga (MXN),700,Sectorial 2025-2026
INPUT,Tasa aprobación de tickets,0.95,5% se rechaza por foto ilegible o duplicado
INPUT,Earning rate (pesos por 1 punto),20,Configurable desde admin
INPUT,% usuarios que solicitan factura,0.30,Asumido por operador
INPUT,Tasa de canje de puntos (1 - breakage),0.30,Industry standard: 60-80% breakage
INPUT,Tipo de cambio USD a MXN,18.50,Ajustar según FX vigente

INPUTS - COSTOS UNITARIOS,,,
INPUT,Costo Facturapi por timbre (MXN),0.55,"Rango real: 0.50 a 0.60"
INPUT,Costo Claude Haiku por ticket leído (USD),0.0030,"Imagen + prompt + JSON output"
INPUT,Costo blended por punto canjeado (MXN),0.082,Promedio ponderado catálogo de 6 SKUs

INPUTS - INFRAESTRUCTURA FIJA (MXN/mes),,,
INPUT,DigitalOcean droplet + backups,640,"4GB / 2vCPU adecuado hasta ~10K usuarios"
INPUT,Apple Developer (amortizado),153,$99 USD/año
INPUT,Google Play (amortizado),4,$25 USD único / 60 meses
INPUT,Dominio fullok.mx,25,$300/año
INPUT,Storage de fotos de tickets (DO Spaces),185,$10 USD/mes hasta 250GB
INPUT,Email transaccional,94,$5 USD/mes plan starter
INPUT,Monitoreo / logs,0,Cuando salga a producción masiva: ~$26 USD/mes Sentry

INPUTS - CATÁLOGO RECOMPENSAS (MXN al mayoreo MTY),,,
INPUT,Costo Llavero metálico,28,Grabado láser incluido
INPUT,Costo Banderín bordado,120,Bordado real coleccionable
INPUT,Costo Gorra trucker,60,Bordado pecho frontal
INPUT,Costo Termo 600ml,180,Acero doble pared + grabado láser
INPUT,Costo Playera bordada,120,Algodón peinado + bordado
INPUT,Costo Balón réplica,130,Talla 5 réplica oficial
